时间,模型,IP,prompt,completion,tokens,积分消耗,当前余额积分,请求ID,key,info
03-03 23:55:17,img-chatgpt-4o-latest,2a06:98c0:3600::103,1,0,1,1000,83764,img-j5ieCJ1Wv6NKkl5U,主,
03-03 23:55:17,chatgpt-4o-latest,2a06:98c0:3600::103,369,313,682,464,84228,j5ieCJ1Wv6NKkl5U,主,
03-03 23:32:01,gpt-4o-mini,2a06:98c0:3600::103,302,8,310,4,84232,xtoPGVv3ke5SnlQH,主,
03-03 23:31:33,deepseek-v3,2a06:98c0:3600::103,19,299,318,19,84251,YDLIE1KKgI3t44J5,主,
03-03 23:30:15,deepseek-v3,2a06:98c0:3600::103,19,272,291,18,84269,wu2ZLurwhRQd89rg,主,
03-03 23:22:31,gpt-4o-mini,2a06:98c0:3600::103,541,327,868,20,84289,LeR8trBVddjzYmOJ,主,
03-03 23:22:22,gpt-4o-mini,2a06:98c0:3600::103,4405,857,5262,83,84372,HDHjSuFDorXDlxkk,主,
03-03 22:54:48,chatgpt-4o-latest,2a06:98c0:3600::103,1578,378,1956,963,85335,JqZKsvtTXdEwoqbI,主,
03-03 22:51:02,chatgpt-4o-latest,2a06:98c0:3600::103,315,1241,1556,1433,86768,EKGmDH9ylRkFDxju,主,
03-03 22:47:43,chatgpt-4o-latest,2a06:98c0:3600::103,27,11,38,21,86789,MjrZcLUsixcbZqSr,主,
03-03 22:46:53,gpt-4o-mini,2a06:98c0:3600::103,74,3,77,1,86790,gLxccsa4Px9uOfTw,主,
03-03 22:22:21,gpt-4o-mini,2a06:98c0:3600::103,302,7,309,3,86793,Q7iFxQByN52A9vPR,主,
03-03 22:21:56,deepseek-v3,2a06:98c0:3600::103,21,263,284,17,86810,dks7ZMY1AnrnYnDC,主,
03-03 21:42:45,gpt-4o-mini,2a06:98c0:3600::103,75,4,79,1,86811,05RenyxXt7qM6ODD,主,
03-03 21:23:41,gpt-4o-mini,2a06:98c0:3600::103,951,6,957,10,86821,mHSEKXJQK8fJgciG,主,
03-03 21:22:07,deepseek-v3,2a06:98c0:3600::103,18,1028,1046,66,86887,z7OoOwgk0C8o3pAQ,主,
03-03 20:25:34,deepseek-r1,2a06:98c0:3600::103,955,691,1646,119,87006,VW6r8gHpFVJq9rmh,主,
03-03 20:25:09,gpt-4o-mini,2a06:98c0:3600::103,198,6,204,2,87008,40tQXIZhna38DqeI,主,
03-03 20:24:45,deepseek-v3,2a06:98c0:3600::103,951,165,1116,26,87034,NFsXxj8IdJumK1FA,主,
03-03 19:24:22,deepseek-r1,2a06:98c0:3600::103,933,904,1837,146,87180,7eaf15E6qNaGNcvd,主,
03-03 19:24:03,claude-3-haiku-20240307,2a06:98c0:3600::103,433,483,916,37,87217,Z7aI1quw262R4FfL,主,
03-03 19:23:59,gpt-4o-mini,2a06:98c0:3600::103,384,7,391,4,87221,KTikxcPn7iy79DG3,主,
03-03 19:23:55,claude-3-haiku-20240307,2a06:98c0:3600::103,13,407,420,17,87238,YNop83NQ9ovP4jZn,主,
03-03 19:23:06,gpt-4o-mini,2a06:98c0:3600::103,16,66,82,3,87241,K6zN5AP9sh3wogK4,主,
03-03 19:18:52,gemini-1.5-pro,2a06:98c0:3600::103,89,77,166,79,87320,C38ofjMU2dH4yDY0,主,
03-03 19:18:48,gpt-4o-mini,2a06:98c0:3600::103,121,5,126,1,87321,MPViaqF6VoaKfEBg,主,
03-03 19:18:42,deepseek-r1,2a06:98c0:3600::103,12,63,75,8,87329,aKxiu7hpE9o6GlnA,主,
03-03 19:17:41,gpt-4o-mini,2a06:98c0:3600::103,13,203,216,9,87338,V5fJ2Z1nFvqMkTyi,主,
03-03 19:16:12,gpt-4o-mini,2a06:98c0:3600::103,289,7,296,3,87341,TkxDqKyPJv6OErvx,主,
03-03 19:15:49,deepseek-v3,2a06:98c0:3600::103,951,270,1221,32,87373,djvU9nCaGrwH5q5h,主,
03-03 18:46:51,gpt-4o-mini,2a06:98c0:3600::103,207,6,213,2,87375,JbpNKC5QAyq4m20w,主,
03-03 18:46:48,gpt-4o-mini,2a06:98c0:3600::103,963,128,1091,16,87391,RJDVpmkxtge8QHIb,主,
03-03 18:45:10,claude-3-opus-20240229,2a06:98c0:3600::103,16,109,125,597,87988,lBOORa6GMGiqGbx4,主,
03-03 18:44:58,o1-mini,2a06:98c0:3600::103,16,193,209,168,88156,zklqUz6XpudXDD0z,主,
03-03 18:44:48,gpt-4o-mini,2a06:98c0:3600::103,13,92,105,4,88160,CWYfT06SJnW4o9yH,主,
03-03 18:44:35,gpt-4o-mini,2a06:98c0:3600::103,78,5,83,1,88161,gJ9VCM4ptDuq97SK,主,
03-03 18:39:13,gpt-4o-mini,2a06:98c0:3600::103,13,102,115,4,88165,lyhxxYjs9DnOsqnI,主,
03-03 18:37:23,gpt-4o-mini,2a06:98c0:3600::103,211,9,220,3,88168,6x6Ezloi2rFpK6y7,主,
03-03 18:37:20,gpt-4o-mini,2a06:98c0:3600::103,962,133,1095,16,88184,lXm9B8RiEIdeSItR,主,
03-03 18:26:22,gpt-4o-mini,2a06:98c0:3600::103,8,9,17,1,88185,vy1Ng0B7qCeVq0oc,主,
03-03 17:37:08,deepseek-v3,2a06:98c0:3600::103,218,146,364,13,88198,alKbe7AkYOReHP3F,主,
03-03 17:35:22,gpt-4o-mini,2a06:98c0:3600::103,263,7,270,3,88201,eMJLtfwh6Q9zxNAZ,主,
03-03 17:35:14,deepseek-v3,2a06:98c0:3600::103,114,89,203,7,88208,OJYtJ1lflRsnLUGN,主,
03-03 17:21:45,deepseek-v3,2a06:98c0:3600::103,1098,798,1896,69,88277,UJFlszUSi1bu23uG,主,
03-03 17:20:09,deepseek-v3,2a06:98c0:3600::103,362,715,1077,52,88329,digzPi9GPj0Wfzmm,主,
03-03 16:31:42,gpt-4o-mini,2a06:98c0:3600::103,75,5,80,1,88330,XfHyD90A1T80aER8,主,
03-03 16:28:23,gpt-4o-mini,2a06:98c0:3600::103,8,9,17,1,88331,aSBOjSYOYCmNxDey,主,
03-03 16:12:11,gpt-4o-mini,2a06:98c0:3600::103,75,4,79,1,88332,QlCQPns0M7NABxmI,主,
03-03 16:09:31,deepseek-r1,2a06:98c0:3600::103,10,17,27,2,88334,rxyZtkkvWcs8SwWb,主,
03-03 16:10:19,deepseek-r1,2a06:98c0:3600::103,10,17,27,2,88336,XDLQQZB3RNzuZDOy,主,
03-03 16:10:04,gpt-4o-mini,2a06:98c0:3600::103,75,6,81,1,88337,bgpC5GEHloTMI53v,主,
03-03 15:51:17,gpt-4o-mini,2a06:98c0:3600::103,948,6,954,10,88347,SfrvBtRQI1IsakoB,主,
03-03 15:50:56,deepseek-r1,2a06:98c0:3600::103,15,1122,1137,144,88491,rD4Q5afbW7BekVMt,主,
03-03 14:34:47,gpt-4o-mini,2a06:98c0:3600::103,448,7,455,5,88496,jvNAcmv4pqegpf3Z,主,
03-03 14:34:05,deepseek-r1,2a06:98c0:3600::103,953,487,1440,93,88589,jy57dAFk0tZF2Nir,主,
03-02 22:37:36,gpt-4o-mini,2a06:98c0:3600::103,294,9,303,3,88592,DxTPikaAGhBmst05,主,
03-02 22:37:26,deepseek-v3,2a06:98c0:3600::103,19,321,340,21,88613,1VjO7xuPLYokreaf,主,
03-02 21:26:38,gpt-4o-mini,2a06:98c0:3600::103,206,90,296,6,88619,DCgbjq89gfdfiZnq,主,
03-02 21:26:06,deepseek-v3,2a06:98c0:3600::103,873,218,1091,28,88647,1X5sjHAbcriweYVS,主,
03-02 21:25:17,gpt-4o-mini,2a06:98c0:3600::103,159,59,218,4,88651,2NN7DoBMviyLWrym,主,
03-02 21:25:02,img-chatgpt-4o-latest,2a06:98c0:3600::103,2,0,2,2000,90651,img-v84AM67RQ9Vsi7P1,主,
03-02 21:25:02,chatgpt-4o-latest,2a06:98c0:3600::103,406,383,789,552,91203,v84AM67RQ9Vsi7P1,主,
03-02 20:13:56,deepseek-r1,2a06:98c0:3600::103,1402,1543,2945,242,91445,a0LsIpJ4UDg21C7h,主,
03-02 20:12:47,deepseek-r1,2a06:98c0:3600::103,16,1425,1441,183,91628,ICu0lh0fKjzi5B3i,主,
03-02 20:13:55,gpt-4o-mini,2a06:98c0:3600::103,1088,6,1094,12,91640,JtgDf1NE4t9Blkbx,主,
03-02 19:27:21,gpt-4o-mini,2a06:98c0:3600::103,109,5,114,1,91641,I1sipc2beX6goObD,主,
03-02 19:27:17,deepseek-r1,2a06:98c0:3600::103,9,52,61,7,91648,46bVLkbqGbNTMK9u,主,
03-02 18:14:35,gpt-4o-mini,2a06:98c0:3600::103,477,8,485,5,91653,mcUbL9bnkT2KgBEu,主,
03-02 18:14:08,deepseek-r1,2a06:98c0:3600::103,951,510,1461,96,91749,3KGh0k9uI9Jy5TwM,主,
03-02 17:11:37,gpt-4o-mini,2a06:98c0:3600::103,1621,726,2347,48,91797,yn89Q4Qxz4gGiB27,主,
03-02 17:10:34,gpt-4o-mini,2a06:98c0:3600::103,983,622,1605,37,91834,RNmZd5nY5NzxJrSz,主,
03-02 17:09:42,gpt-4o-mini,2a06:98c0:3600::103,443,485,928,25,91859,8IOM7AMs8guYz1wg,主,
03-02 17:09:03,gpt-4o-mini,2a06:98c0:3600::103,11,419,430,18,91877,4NjFFZ6SHM7ykCC4,主,
03-02 15:41:37,img-chatgpt-4o-latest,2a06:98c0:3600::103,2,0,2,2000,93877,img-zpzQZ3tWYU8Yzugp,主,
03-02 15:41:37,chatgpt-4o-latest,2a06:98c0:3600::103,222,151,373,240,94117,zpzQZ3tWYU8Yzugp,主,
03-02 15:41:23,img-chatgpt-4o-latest,2a06:98c0:3600::103,2,0,2,2000,96117,img-Q0ot7CEddn8pD7FI,主,
03-02 15:41:23,chatgpt-4o-latest,2a06:98c0:3600::103,144,64,208,119,96236,Q0ot7CEddn8pD7FI,主,
03-02 15:40:59,img-chatgpt-4o-latest,2a06:98c0:3600::103,2,0,2,2000,98236,img-SQgqss57039GZjts,主,
03-02 15:40:59,chatgpt-4o-latest,2a06:98c0:3600::103,81,49,130,81,98317,SQgqss57039GZjts,主,
03-02 15:39:19,gpt-4o-mini,2a06:98c0:3600::103,114,7,121,1,98318,wsPHLP6MwdeebDIL,主,
03-02 15:39:15,img-chatgpt-4o-latest,2a06:98c0:3600::103,1,0,1,1000,99318,img-xl9D9BRVeW59lHB6,主,
03-02 15:39:15,chatgpt-4o-latest,2a06:98c0:3600::103,11,58,69,66,99384,xl9D9BRVeW59lHB6,主,
03-02 12:36:23,gpt-4o-mini,2a06:98c0:3600::103,583,12,595,7,99391,QghmxXtiVeRQQzmr,主,
03-02 12:35:45,deepseek-r1,2a06:98c0:3600::103,957,671,1628,116,99507,9vr5trwHRwQi04Pd,主,
03-02 12:35:23,gpt-4o-mini,2a06:98c0:3600::103,243,7,250,3,99510,11eseAUxe8vJYE26,主,
03-02 12:35:20,gpt-4o-mini,2a06:98c0:3600::103,962,165,1127,17,99527,O5o5D4QmK2VoZOtB,主,
03-02 12:28:12,gpt-4o-mini,2a06:98c0:3600::103,117,6,123,1,99528,gktgB9XiBP2GItIj,主,
03-02 12:28:10,gpt-4o-mini,2a06:98c0:3600::103,9,43,52,2,99530,78d3XZxdIBYPyxow,主,
03-02 12:27:03,gpt-4o-mini,2a06:98c0:3600::103,8,9,17,1,99531,QDZ80GZwlp9ChEwV,主,
03-02 12:26:13,gpt-4o-mini,2a06:98c0:3600::103,10,21,31,1,99532,ZHxwKmKLpeswvhrq,主,
03-02 06:33:15,gpt-4o-mini,2a06:98c0:3600::103,386,5,391,4,99536,Za5VI8ZA2ZsADPTA,主,
03-02 06:32:55,gpt-4o-mini,2a06:98c0:3600::103,19,304,323,13,99549,45ph8AnMkRk7WwUH,主,
03-02 05:25:50,gpt-4o-mini,2a06:98c0:3600::103,467,6,473,5,99554,B7GhrCckV5QSi8zn,主,
03-02 05:25:46,gpt-4o-mini,2a06:98c0:3600::103,13,391,404,17,99571,lzHdc3Mr9fYNhwGc,主,
03-02 05:04:09,pay,,0,0,0,-100000,-429,2503020503541874,主,
03-01 23:42:10,gpt-4o,103.151.172.84,100,541,641,612,183,sgpTp2m9hJF5uVJs,主,
03-01 23:41:23,gpt-4o,103.151.172.84,93,151,244,194,377,bHxXPeXzTcCFgBOE,主,
03-01 22:45:55,gpt-4o,103.151.172.84,154,401,555,482,859,n6sdj0b3mFsNkCIf,主,
03-01 21:36:28,gpt-4o,103.151.172.84,1130,270,1400,689,1548,tMeqMSAQTL8z3MTr,主,
03-01 21:35:42,gpt-4o,103.151.172.84,89,1024,1113,1122,2670,vlxA0Qci8mzjayqs,主,
03-01 19:44:56,gpt-4o,103.151.172.84,691,64,755,313,2983,XV9qU5WHaOca99Fj,主,
03-01 19:40:17,gpt-4o,103.151.172.84,657,15,672,249,3232,jy8ag4G1uvDcbDaF,主,
03-01 19:34:26,gpt-4o,103.151.172.84,621,22,643,244,3476,KWtnAh3wTlwOjBoA,主,
03-01 19:33:42,gpt-4o,103.151.172.84,589,16,605,226,3702,GlnViUfVNcmpaLHv,主,
03-01 18:35:16,gpt-4o,103.151.172.84,1050,519,1569,925,4627,PtPhftINXUZPWq1A,主,
03-01 18:09:57,gpt-4o,103.151.172.84,481,278,759,467,5094,4EUPbg9K4AQj5Ujq,主,
03-01 17:57:25,gpt-4o,103.151.172.84,118,239,357,296,5390,Z4FrNz6B0ZFeBaTN,主,
03-01 14:36:09,img-gpt-4o,103.151.173.95,1,0,1,1000,6390,img-2B9hK0M8qqzMCga3,主,
03-01 14:36:09,gpt-4o,103.151.173.95,343,233,576,370,6760,2B9hK0M8qqzMCga3,主,
03-01 14:17:56,img-gpt-4o,103.151.173.95,1,0,1,1000,7760,img-29Xeiti5Z3GBTXSN,主,
03-01 14:17:56,gpt-4o,103.151.173.95,83,250,333,296,8056,29Xeiti5Z3GBTXSN,主,
03-01 14:11:59,gpt-4o,103.151.173.95,6285,1024,7309,3322,11378,NTE6jm6UHYuImcER,主,
03-01 13:31:29,gpt-4o,103.151.173.95,6300,1024,7324,3327,14705,mKij3wpBQ7LTWby3,主,
03-01 13:27:13,gpt-4o,103.151.173.95,5306,502,5808,2418,17123,pOXLAHLU8lFcSTVC,主,
03-01 13:24:06,gpt-4o,103.151.173.95,5007,1021,6028,2865,19988,wfRz6L1XSRjkWY6T,主,
03-01 13:22:52,gpt-4o,103.151.173.95,3969,1024,4993,2500,22488,1zLOhDVAoGxr95Xe,主,
03-01 13:17:15,gpt-4o,103.151.173.95,2924,1023,3947,2127,24615,UGcTboX452TYu0gy,主,
03-01 13:15:08,gpt-4o,103.151.173.95,1888,1024,2912,1761,26376,STobXmRcSoGMKfvr,主,
03-01 13:14:30,gpt-4o,103.151.173.95,845,1024,1869,1390,27766,KBlORaASFHVWVRCB,主,
03-01 11:23:20,gpt-4o,103.151.173.95,1702,298,2000,922,28688,yJ7QkX3NBJzODe5C,主,
03-01 10:36:11,gpt-4o,103.151.173.95,700,981,1681,1293,29981,sdDRjADDKliD0a1D,主,
03-01 10:25:34,gpt-4o,103.151.173.95,603,82,685,301,30282,1HDJEaWdxW0pSEgi,主,
03-01 10:24:44,gpt-4o,103.151.173.95,83,499,582,561,30843,E9c4K9oNbTR9qLWq,主,
03-01 10:14:54,gpt-4o,103.151.173.95,89,729,818,808,31651,FFMz5Z1yHG9JGTKz,主,
03-01 04:52:41,deepseek-r1,2a06:98c0:3600::103,1170,849,2019,146,31797,EulScNXOLknzCTw7,主,
03-01 04:42:28,deepseek-r1,2a06:98c0:3600::103,42,1111,1153,144,31941,NpauobtIQ0fTe7HS,主,
03-01 04:41:34,gpt-4o-mini,2a06:98c0:3600::103,90,6,96,1,31942,oi14bwFCxUjPCoJ0,主,
03-01 04:41:32,deepseek-r1,2a06:98c0:3600::103,9,17,26,2,31944,DMJHJhXxEsxS7xJR,主,
03-01 04:40:36,gpt-4o-mini,2a06:98c0:3600::103,16,56,72,3,31947,wR5IkocrpyQQCl37,主,
03-01 04:04:25,deepseek-r1,2a06:98c0:3600::103,2556,1914,4470,327,32274,8EYzt9mydG0KH99u,主,
03-01 03:40:36,deepseek-r1,2a06:98c0:3600::103,1623,919,2542,170,32444,CF11trOErMWRyUJC,主,
03-01 03:11:09,gpt-4o-mini,2a06:98c0:3600::103,1332,8,1340,14,32458,hZCs88NsixmgyDML,主,
03-01 03:10:44,deepseek-r1,2a06:98c0:3600::103,16,1584,1600,203,32661,hpbjJvw4Ksq0qQ5J,主,
02-28 11:05:48,deepseek-r1,2a06:98c0:3600::103,1857,1599,3456,264,32925,oU6d65pNVSTDecK5,主,
02-28 10:51:36,gpt-4o-mini,2a06:98c0:3600::103,1530,6,1536,17,32942,Mzx6m8E9AJQakJ9q,主,
02-28 10:50:43,deepseek-r1,2a06:98c0:3600::103,13,1828,1841,234,33176,sCIGxIcaNFjoK3um,主,
02-28 08:35:51,gpt-4o-mini,2a06:98c0:3600::103,1521,9,1530,17,33193,DOK49aGK6Jxveh1U,主,
02-28 08:35:07,deepseek-r1,2a06:98c0:3600::103,24,1803,1827,232,33425,8Ad4RSdwewnT5gaA,主,
02-28 01:22:32,gpt-4o-mini,2a06:98c0:3600::103,2844,9,2853,31,33456,dfW59VnipLWwp6Bg,主,
02-28 01:21:34,deepseek-r1,2a06:98c0:3600::103,1235,2942,4177,416,33872,iq9uPDOT6y5ai2S7,主,
02-28 01:19:56,gpt-4o-mini,2a06:98c0:3600::103,116,5,121,1,33873,FaA5wx2CAHFvXRpG,主,
02-28 01:19:52,deepseek-r1,2a06:98c0:3600::103,12,58,70,8,33881,cC8esYealDUn8Qoh,主,
02-28 01:12:39,deepseek-r1,2a06:98c0:3600::103,44,1329,1373,171,34052,prDYxiv64D9qtxto,主,
02-28 01:11:59,gpt-4o-mini,2a06:98c0:3600::103,85,4,89,1,34053,kEGkPyk2K53zkbUh,主,
02-28 01:11:56,deepseek-r1,2a06:98c0:3600::103,9,12,21,2,34055,Xk89BTla1wbw2c1L,主,
02-27 22:27:05,gpt-4o,103.151.173.95,234,361,595,467,34522,niOrjl6GcMKTolyM,主,
02-27 22:26:36,gpt-4o,103.151.173.95,92,121,213,161,34683,TuXktnMUw8Fp7dcM,主,
02-27 17:27:32,chatgpt-4o-latest,2a06:98c0:3600::103,4158,468,4626,1974,36657,HiwzG3Q5Vr8R1HR0,主,
02-27 17:28:05,gpt-4o-mini,2a06:98c0:3600::103,5834,267,6101,73,36730,4sPTlsQV9RkavvV9,主,
02-27 17:25:05,gpt-4o,2a06:98c0:3600::103,4057,377,4434,1842,38572,pA0GbQmSa8c8T14W,主,
02-27 17:27:03,gpt-4o-mini,2a06:98c0:3600::103,5095,285,5380,66,38638,HiaMGOKoMvClHtoI,主,
02-27 17:25:38,gpt-4o-mini,2a06:98c0:3600::103,4356,238,4594,56,38694,2xzWNLOrWqcItwj3,主,
02-27 17:20:50,chatgpt-4o-latest,2a06:98c0:3600::103,1739,741,2480,1406,40100,1gaUj8JK7eK6En1b,主,
02-27 17:22:45,chatgpt-4o-latest,2a06:98c0:3600::103,4091,444,4535,1925,42025,JZJAFyP04Qdv4w4U,主,
02-27 17:23:19,gpt-4o-mini,2a06:98c0:3600::103,2911,329,3240,45,42070,6zwBRnmycLXUblW0,主,
02-27 17:22:36,gpt-4o-mini,2a06:98c0:3600::103,2182,263,2445,34,42104,zUwQGHTranXlACg8,主,
02-27 17:22:21,gpt-4o-mini,2a06:98c0:3600::103,2144,217,2361,32,42136,oFcFSYRM29YY2Wny,主,
02-27 17:22:05,gpt-4o-mini,2a06:98c0:3600::103,2091,244,2335,33,42169,qnR1yLiCdPpAOnw9,主,
02-27 17:21:23,gpt-4o-mini,2a06:98c0:3600::103,1562,275,1837,28,42197,puvGiY8O3yGowCFj,主,
02-27 17:20:02,gpt-4o-mini,2a06:98c0:3600::103,1543,273,1816,28,42225,Gaje6mpkjKM804ax,主,
02-27 17:19:31,chatgpt-4o-latest,2a06:98c0:3600::103,1726,25,1751,639,42864,m8yh2Fv1fKWqfndz,主,
02-27 17:18:14,gpt-4o-mini,2a06:98c0:3600::103,636,87,723,10,42874,g534tVs6hg23PrgU,主,
02-27 17:17:56,chatgpt-4o-latest,2a06:98c0:3600::103,1666,25,1691,618,43492,MRoi1lhgQKnXC7oJ,主,
02-27 17:11:58,gpt-4o,2a06:98c0:3600::103,1478,499,1977,1056,44548,hEXF2IRd1CTBuGSB,主,
02-27 17:13:16,gpt-4o-mini,2a06:98c0:3600::103,586,44,630,8,44556,ZLRQyAmC9L7bugLc,主,
02-27 17:12:48,chatgpt-4o-latest,2a06:98c0:3600::103,1354,530,1884,1045,45601,tao2JdQzblNEdwFU,主,
02-27 17:12:31,gpt-4o-mini,2a06:98c0:3600::103,515,157,672,12,45613,IV8EIwhZDSLBFguQ,主,
02-27 17:07:03,gpt-4o-mini,2a06:98c0:3600::103,238,123,361,8,45621,LOnjgNKK5I5LGvpn,主,
02-27 17:06:32,gpt-4o,2a06:98c0:3600::103,1002,427,1429,810,46431,IUWSvu5ndIK9USOs,主,
02-27 17:06:13,gpt-4o,2a06:98c0:3600::103,503,22,525,202,46633,ByF583JsoTt5DYu0,主,
02-27 17:05:36,gpt-4o,2a06:98c0:3600::103,447,30,477,191,46824,odPXpD0OQ4rAM1rE,主,
02-27 16:52:39,gpt-4o,2a06:98c0:3600::103,262,147,409,250,47074,bYOrwq8d8B31Zgfz,主,
02-27 16:52:29,gpt-4o-mini,2a06:98c0:3600::103,192,10,202,2,47076,cMYFcO4kw9Jq0Ub8,主,
02-27 11:07:20,gpt-4o-mini,2a06:98c0:3600::103,582,176,758,14,47090,4ADXmgGXFTqzqaBo,主,
02-27 11:06:50,gpt-4o,2a06:98c0:3600::103,2540,888,3428,1847,48937,xtmFDDAmCfa7vRQ8,主,
02-27 11:04:44,gpt-4o-mini,2a06:98c0:3600::103,178,42,220,4,48941,HAzuUQZhFYg8ownN,主,
02-27 11:04:14,gpt-4o,2a06:98c0:3600::103,1548,964,2512,1576,50517,oBVPkm1H5cpyDPac,主,
02-27 11:04:07,gpt-4o,2a06:98c0:3600::103,778,27,805,305,50822,VpqcZbUoMILyYnZn,主,
02-27 11:03:07,gpt-4o,2a06:98c0:3600::103,496,251,747,443,51265,1nMYZdQK9isiMVLR,主,
02-27 11:02:25,gpt-4o,2a06:98c0:3600::103,409,68,477,218,51483,3RoBc7gJQUkGlrZx,主,
02-27 11:02:12,gpt-4o-mini,2a06:98c0:3600::103,133,6,139,2,51485,awiifJ05hL1TXbBX,主,
02-27 11:02:11,gpt-4o,2a06:98c0:3600::103,47,29,76,48,51533,QIHXtm51VR55x6U9,主,
02-27 11:01:03,gpt-4o,2a06:98c0:3600::103,37,26,63,41,51574,HZcxpavCSRLGUsfj,主,
02-27 11:00:27,gpt-4o-mini,2a06:98c0:3600::103,6948,206,7154,83,51657,rGU41o0K2EW6lCYk,主,
02-27 10:57:42,gpt-4o-mini,2a06:98c0:3600::103,6923,214,7137,83,51740,ojuAplEkg8KYQgfw,主,
02-27 10:57:22,chatgpt-4o-latest,2a06:98c0:3600::103,873,543,1416,888,52628,u59y46Ne7lPFITB6,主,
02-27 10:57:04,gpt-4o-mini,2a06:98c0:3600::103,6898,313,7211,87,52715,1B59eTbgFSqyD3Tx,主,
02-27 10:56:40,chatgpt-4o-latest,2a06:98c0:3600::103,2056,33,2089,765,53480,lzTdBDiRYwr4mOwx,主,
02-27 10:55:23,gpt-4o-mini,2a06:98c0:3600::103,5158,338,5496,69,53549,pSzzIyrSnImSJLfX,主,
02-27 10:55:14,chatgpt-4o-latest,2a06:98c0:3600::103,3527,40,3567,1295,54844,bby81Ww68HSYuKGW,主,
02-27 10:55:06,gpt-4o-mini,2a06:98c0:3600::103,3771,256,4027,51,54895,Y9D8ki3cIVvj1Nds,主,
02-27 10:54:30,gpt-4o-mini,2a06:98c0:3600::103,3026,192,3218,40,54935,UXNhYddP6baefsQV,主,
02-27 10:39:12,gpt-4o-mini,2a06:98c0:3600::103,2971,292,3263,44,54979,0yUdFIUozxc7bNwg,主,
02-27 10:38:56,chatgpt-4o-latest,2a06:98c0:3600::103,3418,977,4395,2254,57233,JvGXSoC5iIBdMtCR,主,
02-27 10:38:31,gpt-4o-mini,2a06:98c0:3600::103,2889,285,3174,43,57276,HjUiIxUvHYPzlOH8,主,
02-27 10:38:04,chatgpt-4o-latest,2a06:98c0:3600::103,3142,1166,4308,2357,59633,BEeYv15ehpR6psks,主,
02-27 10:36:24,gpt-4o-mini,2a06:98c0:3600::103,1140,291,1431,24,59657,4WI2esmXTtSt48Ga,主,
02-27 10:36:12,chatgpt-4o-latest,2a06:98c0:3600::103,2794,363,3157,1378,61035,ZB2C7Xo24ZjzTKXa,主,
02-27 10:36:04,gpt-4o-mini,2a06:98c0:3600::103,1037,280,1317,23,61058,D3hR9uLaajjWWYxQ,主,
02-27 10:35:59,chatgpt-4o-latest,2a06:98c0:3600::103,3005,25,3030,1093,62151,FWNr0BxN0L5T8CYS,主,
02-27 10:35:26,gpt-4o-mini,2a06:98c0:3600::103,336,161,497,10,62161,TlEAo9gVkPNDzIDC,主,
02-27 10:35:24,chatgpt-4o-latest,2a06:98c0:3600::103,2914,54,2968,1092,63253,TkjFU8yXddiJzMfK,主,
02-27 09:53:23,gpt-4o-mini,2a06:98c0:3600::103,256,90,346,7,63260,gV6YCgTeaHee93gN,主,
02-27 09:53:11,chatgpt-4o-latest,2a06:98c0:3600::103,1839,1081,2920,1804,65064,7fx29ARb2dcSdzhT,主,
02-27 09:52:24,gpt-4o-mini,2a06:98c0:3600::103,194,70,264,5,65069,tNAyLPE5GWyhXjS4,主,
02-27 09:52:19,chatgpt-4o-latest,2a06:98c0:3600::103,967,56,1023,403,65472,FoGWLbcutTxq879X,主,
02-27 09:48:16,gpt-4o-mini,2a06:98c0:3600::103,150,40,190,3,65475,pzePGsgtTMI3mvxs,主,
02-27 09:48:08,chatgpt-4o-latest,2a06:98c0:3600::103,749,252,1001,534,66009,qYXv2V7B7i4SHi1X,主,
02-27 09:47:33,gpt-4o-mini,2a06:98c0:3600::103,122,15,137,2,66011,DymxWLRH2YR4hEQN,主,
02-27 09:47:21,chatgpt-4o-latest,2a06:98c0:3600::103,180,49,229,116,66127,U7b4EKBOeLzEVCYi,主,
02-27 09:46:51,chatgpt-4o-latest,2a06:98c0:3600::103,110,40,150,82,66209,Mtv9oBAji9YVk9Li,主,
02-27 09:46:17,chatgpt-4o-latest,2a06:98c0:3600::103,61,28,89,51,66260,OuthTgBQvvMBmKq8,主,
02-27 09:46:05,chatgpt-4o-latest,2a06:98c0:3600::103,31,15,46,27,66287,YYAP0UqdyGV0SdbI,主,
02-27 09:45:54,gpt-4o-mini,2a06:98c0:3600::103,76,4,80,1,66288,ZQ6jMzHTiDUldhFe,主,
02-25 17:58:32,gpt-4o-mini,2a06:98c0:3600::103,364,6,370,4,66292,4RmWJRk6yh5L1Az1,主,
02-25 17:58:16,deepseek-r1,2a06:98c0:3600::103,325,0,325,10,66302,VjLXUmLaYjPiWBeW,主,
02-25 17:36:40,deepseek-r1,2a06:98c0:3600::103,27,396,423,52,66354,rfxF7gxJLhStgT17,主,
02-25 17:35:03,gpt-4o-mini,2a06:98c0:3600::103,152,8,160,2,66356,mHy5gHjE16FgaSYw,主,
02-25 17:34:46,deepseek-r1,2a06:98c0:3600::103,27,114,141,15,66371,BSp0BfyQYeqWDHwR,主,
02-25 17:01:37,gpt-4o,103.151.173.95,1073,540,1613,956,67327,E57vgP0Fh44lE8VE,主,
02-25 16:53:17,gpt-4o,103.151.173.95,378,662,1040,839,68166,a20X9aXuDhVpsih8,主,
02-25 04:44:34,deepseek-r1,2a06:98c0:3600::103,15,706,721,91,68257,U4FwhD45kGtngFkI,主,
